id,product_id,product_name,action,quantity_change,quantity_after,timestamp
1,1,ノートパソコン,入庫,20,20,2026-01-15 10:00:00
2,1,ノートパソコン,出庫,-5,15,2026-02-01 14:30:00
3,2,マウス,入庫,50,50,2026-01-16 11:30:00
4,3,キーボード,入庫,30,30,2026-01-16 11:35:00
5,4,モニター,入庫,25,25,2026-01-17 09:00:00
6,4,モニター,出庫,-5,20,2026-02-05 16:20:00
7,5,USBケーブル,入庫,100,100,2026-01-18 14:20:00
8,6,外付けHDD,入庫,25,25,2026-01-19 10:15:00
9,7,Webカメラ,入庫,40,40,2026-01-20 13:45:00
10,8,ヘッドセット,入庫,35,35,2026-01-21 15:30:00
11,9,プリンター,入庫,10,10,2026-01-22 09:20:00
12,10,LANケーブル,入庫,80,80,2026-01-23 11:00:00
13,11,ホワイトボード,入庫,10,10,2026-06-11 13:31:37
14,1,ノートパソコン,出庫,-5,10,2026-06-22 15:28:31
