id,name,category,quantity,price,created_at
1,ノートパソコン,電子機器,10,120000.0,2026-01-15 10:00:00
2,マウス,周辺機器,50,2500.0,2026-01-16 11:30:00
3,キーボード,周辺機器,30,8000.0,2026-01-16 11:35:00
4,モニター,電子機器,20,35000.0,2026-01-17 09:00:00
5,USBケーブル,周辺機器,100,800.0,2026-01-18 14:20:00
6,外付けHDD,ストレージ,25,12000.0,2026-01-19 10:15:00
7,Webカメラ,周辺機器,40,6500.0,2026-01-20 13:45:00
8,ヘッドセット,周辺機器,35,4500.0,2026-01-21 15:30:00
9,プリンター,電子機器,10,45000.0,2026-01-22 09:20:00
10,LANケーブル,ネットワーク,80,500.0,2026-01-23 11:00:00
11,ホワイトボード,事務用品,10,30000.0,2026-06-11 13:31:37
